store_id,state_id,cat_id,dept_id,item_id,year_month,total_units,avg_price,days_with_sales,max_daily_units,has_promotion,total_revenue
CA_1,CA,FOODS,FOODS_2,FOODS_2_380,2015-04,8,4.97,3,4,False,39.76
CA_1,CA,FOODS,FOODS_2,FOODS_2_380,2015-05,48,4.97,26,7,True,238.56
CA_1,CA,FOODS,FOODS_2,FOODS_2_380,2015-06,41,4.97,23,4,True,203.77
CA_1,CA,FOODS,FOODS_2,FOODS_2_380,2015-07,58,4.97,25,6,True,288.26
CA_1,CA,FOODS,FOODS_2,FOODS_2_380,2015-08,79,4.97,28,8,False,392.63
CA_1,CA,FOODS,FOODS_2,FOODS_2_380,2015-09,38,4.97,23,4,True,188.86
CA_1,CA,FOODS,FOODS_2,FOODS_2_380,2015-10,47,4.97,22,7,True,233.59
CA_1,CA,FOODS,FOODS_2,FOODS_2_380,2015-11,48,4.97,23,5,True,238.56
CA_1,CA,FOODS,FOODS_2,FOODS_2_380,2015-12,43,4.97,25,3,True,213.71
CA_1,CA,FOODS,FOODS_2,FOODS_2_380,2016-01,52,4.97,25,5,True,258.44
CA_1,CA,FOODS,FOODS_2,FOODS_2_380,2016-02,36,4.97,16,5,True,178.92
CA_1,CA,FOODS,FOODS_2,FOODS_2_380,2016-03,51,4.97,26,5,True,253.47
CA_1,CA,FOODS,FOODS_2,FOODS_2_380,2016-04,21,4.97,12,5,False,104.37
CA_1,CA,FOODS,FOODS_3,FOODS_3_017,2015-04,1,1.98,1,1,False,1.98
CA_1,CA,FOODS,FOODS_3,FOODS_3_017,2015-05,7,1.98,7,1,True,13.86
CA_1,CA,FOODS,FOODS_3,FOODS_3_017,2015-06,6,1.98,5,2,True,11.88
CA_1,CA,FOODS,FOODS_3,FOODS_3_017,2015-07,6,1.98,6,1,True,11.88
CA_1,CA,FOODS,FOODS_3,FOODS_3_017,2015-08,9,1.98,9,1,False,17.82
CA_1,CA,FOODS,FOODS_3,FOODS_3_017,2015-09,3,1.98,3,1,True,5.94
CA_1,CA,FOODS,FOODS_3,FOODS_3_017,2015-10,8,1.98,7,2,True,15.84
CA_1,CA,FOODS,FOODS_3,FOODS_3_017,2015-11,3,1.98,3,1,True,5.94
CA_1,CA,FOODS,FOODS_3,FOODS_3_017,2015-12,6,1.98,5,2,True,11.88
CA_1,CA,FOODS,FOODS_3,FOODS_3_017,2016-01,1,1.98,1,1,True,1.98
CA_1,CA,FOODS,FOODS_3,FOODS_3_017,2016-03,7,1.98,6,2,True,13.86
CA_1,CA,FOODS,FOODS_3,FOODS_3_017,2016-04,2,1.98,2,1,False,3.96
