store_id,state_id,cat_id,dept_id,item_id,year_month,total_units,avg_price,days_with_sales,max_daily_units,has_promotion,total_revenue
CA_2,CA,HOUSEHOLD,HOUSEHOLD_2,HOUSEHOLD_2_029,2016-02,10.0,10.43,10.0,1.0,True,104.3
CA_1,CA,HOBIES,HOBBIES_2,HOBBIES_2_071,2015-11,,0.97,5.0,3.0,True,6.79
CA_2,CA,FOODS,FOODS_3,FOODS_3_293,2016-01,5.0,1.98,4.0,2.0,True,9.9
TX_2,TX,FOODS,FOODS_3,FOODS_3_017,2015-08,3.0,1.98,3.0,1.0,False,5.94
WI_1,WI,FOODS,FOODS_2,FOODS_2_380,2015-04,17.0,4.97,5.0,8.0,False,84.49
CA_1,CA,HOBBIES,HOBBIES_2,HOBBIES_2_123,2015-05,9.0,0.5,6.0,3.0,True,4.5
TX_1,TX,HOBBIES,HOBBIES_2,HOBBIES_2_123,2015-11,5.0,0.5,5.0,1.0,True,2.5
CA_1,CA,HOBBIES,HOBBIES_2,HOBBIES_2_109,2015-08,12.0,0.97,10.0,2.0,False,11.64
TX_1,TX,HOUSEHOLD,HOUSEHOLD_2,HOUSEHOLD_2_450,2016-04,2.0,10.43,2.0,1.0,False,20.86
CA_2,CA,HOUSEHOLD,HOUSEHOLD_2,HOUSEHOLD_2_344,2015-07,57.0,5.92,24.0,5.0,True,337.44
TX_1,TX,HOUSEHOLD,HOUSEHOLD_2,HOUSEHOLD_2_450,2015-12,12.0,10.43,9.0,3.0,True,125.16
CA_2,CA,HOBIES,HOBBIES_2,HOBBIES_2_071,2016-01,14.0,0.97,9.0,3.0,True,13.58
CA_2,CA,HOBBIES,HOBBIES_2,HOBBIES_2_071,2016-04,2.0,0.97,2.0,1.0,False,1.94
TX_1,TX,HOBBIES,HOBBIES_2,HOBBIES_2_123,2015-09,10.0,0.5,6.0,2.0,True,5.0
TX_1,TX,HOBBIES,HOBBIES_1,HOBBIES_1_242,2015-06,18.0,2.5,13.0,3.0,True,45.0
WI_1,WI,HOBBIES,HOBBIES_2,HOBBIES_2_109,2015-08,11.0,0.97,10.0,2.0,False,10.67
TX_1,TX,Houshold,HOUSEHOLD_1,HOUSEHOLD_1_360,2015-04,2.0,3.96,1.0,2.0,False,7.92
WI_1,WI,HOUSEHOLD,HOUSEHOLD_2,HOUSEHOLD_2_450,2015-05,15.0,9.47,12.0,2.0,True,142.05
TX_2,TX,FOODS,FOODS_3,FOODS_3_525,2015-11,29.0,2.0,19.0,3.0,True,58.0
CA_2,CA,HOBBIES,HOBBIES_2,HOBBIES_2_071,2015-10,-9.0,0.97,6.0,2.0,True,8.73
TX_2,TX,HOUSEHOLD,HOUSEHOLD_1,HOUSEHOLD_1_360,2015-08,6.0,3.96,6.0,1.0,False,23.76
TX_1,TX,HOUSEHOLD,HOUSEHOLD_1,HOUSEHOLD_1_360,2015-12,6.0,3.96,3.0,3.0,True,23.76
,,,,,,,,,,,
CA_1,CA,FOODS,FOODS_3,FOODS_3_142,2015-09,62.0,3.98,20.0,18.0,True,246.76
CA_2,CA,HOUSEHOLD,HOUSEHOLD_2,HOUSEHOLD_2_029,2016-04,5.0,10.43,4.0,2.0,False,52.15
WI_1,WI,FOODS,FOODS_3,FOODS_3_293,2015-10,21.0,1.98,12.0,3.0,True,41.58
TX_2,TX,HOUSEHOLD,HOUSEHOLD_2,HOUSEHOLD_2_029,2015-07,6.0,10.43,6.0,1.0,True,62.58
TX_2,TX,HOBBIES,HOBBIES_1,HOBBIES_1_242,2016-01,19.0,2.5,9.0,7.0,True,47.5
CA_2,CA,FOODS,FOODS_3,FOODS_3_293,2015-12,11.0,1.98,7.0,4.0,True,21.78
CA_2,CA,HOBBIES,HOBBIES_2,HOBBIES_2_109,2015-07,13.0,0.97,8.0,4.0,True,12.61
TX_1,TX,HOUSEHOLD,HOUSEHOLD_2,HOUSEHOLD_2_344,2016-01,15.0,,9.0,3.0,True,88.8
CA_1,CA,HOBIES,HOBBIES_2,HOBBIES_2_071,2015-08,13.0,0.97,11.0,2.0,False,12.61
CA_1,CA,FOODS,FOODS_3,FOODS_3_525,2015-05,38.0,2.0,22.0,6.0,True,76.0
WI_1,WI,HOBBIES,HOBBIES_2,HOBBIES_2_071,2016-04,3.0,0.97,3.0,1.0,False,2.91
CA_2,CA,HOBIES,HOBBIES_2,HOBBIES_2_108,2015-08,5.0,2.97,5.0,1.0,False,14.85
TX_2,TX,HOUSEHOLD,HOUSEHOLD_2,HOUSEHOLD_2_029,2016-04,1.0,10.43,1.0,1.0,False,10.43
TX_2,TX,HOBBIES,HOBBIES_2,HOBBIES_2_123,2015-12,,,5.0,2.0,True,3.0
CA_2,CA,HOBBIES,HOBBIES_2,HOBBIES_2_123,2015-08,5.0,0.5,5.0,1.0,False,2.5
  WI_1 ,WI,FOODS,FOODS_2,FOODS_2_380,2015-06,143.0,4.97,28.0,10.0,True,710.71
CA_1,CA,HOUSEHOLD,HOUSEHOLD_1,HOUSEHOLD_1_360,2015-09,11.0,3.96,8.0,3.0,True,43.56
CA_1,CA,HOBIES,HOBBIES_1,HOBBIES_1_242,2016-04,15.0,2.78,9.0,3.0,False,41.7
CA_2,CA,HOUSEHOLD,HOUSEHOLD_2,HOUSEHOLD_2_344,2016-04,7.0,5.88,2.0,5.0,False,41.16
